epoch,batch,test,min,max,mean
50,5,10.0,8.99,24.72,18.43
50,5,15.0,14.93,38.81,20.67
50,5,20.0,17.42,41.57,23.03
50,5,25.0,17.94,35.43,21.48
50,10,10.0,11.24,20.22,16.18
50,10,15.0,14.18,39.55,21.64
50,10,20.0,19.1,23.6,20.62
50,10,25.0,16.59,35.43,21.43
50,15,10.0,13.48,26.97,19.66
50,15,15.0,12.69,42.54,24.48
50,15,20.0,17.42,38.2,22.36
50,15,25.0,14.8,23.77,19.91
50,20,10.0,12.36,22.47,19.1
50,20,15.0,14.93,32.84,21.19
50,20,20.0,15.17,21.35,18.76
50,20,25.0,15.7,35.87,22.24
100,5,10.0,10.11,38.2,21.01
100,5,15.0,13.43,22.39,18.28
100,5,20.0,12.92,24.16,18.93
100,5,25.0,15.25,32.29,19.96
100,10,10.0,14.61,26.97,20.56
100,10,15.0,16.42,39.55,22.46
100,10,20.0,17.42,43.26,24.49
100,10,25.0,15.25,22.42,18.74
100,15,10.0,15.73,23.6,19.89
100,15,15.0,14.93,20.9,17.91
100,15,20.0,12.36,41.01,20.34
100,15,25.0,16.59,40.81,21.57
100,20,10.0,15.73,25.84,20.34
100,20,15.0,14.18,24.63,19.18
100,20,20.0,15.73,40.45,22.7
100,20,25.0,15.7,34.08,20.72
150,5,10.0,11.24,30.34,18.88
150,5,15.0,14.93,36.57,22.54
150,5,20.0,13.48,25.28,19.21
150,5,25.0,16.59,43.5,23.27
150,10,10.0,13.48,38.2,23.03
150,10,15.0,11.19,35.07,22.09
150,10,20.0,15.73,24.16,19.83
150,10,25.0,13.9,20.18,17.17
150,15,10.0,13.48,35.96,21.24
150,15,15.0,15.67,22.39,18.81
150,15,20.0,15.73,36.52,22.75
150,15,25.0,15.25,23.77,18.43
150,20,10.0,11.24,37.08,20.11
150,20,15.0,8.96,41.04,24.55
150,20,20.0,14.61,37.08,20.06
150,20,25.0,16.59,21.52,19.15
200,5,10.0,13.48,37.08,21.01
200,5,15.0,13.43,42.54,24.1
200,5,20.0,14.61,39.89,20.39
200,5,25.0,17.04,39.91,21.93
200,10,10.0,11.24,23.6,16.74
200,10,15.0,15.67,26.12,20.15
200,10,20.0,15.73,34.83,20.62
200,10,25.0,16.59,21.52,19.19
200,15,10.0,15.73,21.35,18.54
200,15,15.0,17.16,23.88,19.93
200,15,20.0,15.73,26.4,19.49
200,15,25.0,15.25,35.87,21.08
200,20,10.0,11.24,35.96,18.88
200,20,15.0,13.43,23.88,18.43
200,20,20.0,15.73,23.6,19.49
200,20,25.0,15.25,39.01,21.35
